name of file,donor,islet,glucose,cell number,cell type,R64 file,npy file
0248_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_23.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0248_beta.npy
0249_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_24.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0249_beta.npy
0250_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_25.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0250_beta.npy
0251_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_26.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0251_beta.npy
0252_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_27.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0252_beta.npy
0253_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_28.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0253_beta.npy
0254_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_29.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0254_beta.npy
0255_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_30.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0255_beta.npy
0256_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_31.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0256_beta.npy
0257_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_32.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0257_beta.npy
0258_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_33.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0258_beta.npy
0259_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_34.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0259_beta.npy
0260_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_35.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0260_beta.npy
0261_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_36.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0261_beta.npy
0262_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_37.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0262_beta.npy
0263_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_38.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0263_beta.npy
0264_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_39.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0264_beta.npy
0265_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_40.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0265_beta.npy
0266_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_41.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0266_beta.npy
0267_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_42.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0267_beta.npy
0268_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_43.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0268_beta.npy
0269_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_44.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0269_beta.npy
0270_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_45.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0270_beta.npy
0271_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_46.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0271_beta.npy
0272_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_47.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0272_beta.npy
0273_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_48.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0273_beta.npy
0274_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_49.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0274_beta.npy
0275_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_50.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0275_beta.npy
0276_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_51.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0276_beta.npy
0277_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_52.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0277_beta.npy
0278_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_53.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0278_beta.npy
0279_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_54.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0279_beta.npy
0280_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_55.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0280_beta.npy
0281_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_56.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0281_beta.npy
0282_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_57.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0282_beta.npy
0283_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_58.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0283_beta.npy
0284_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_59.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0284_beta.npy
0285_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_60.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0285_beta.npy
0286_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_61.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0286_beta.npy
0287_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_62.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0287_beta.npy
0288_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_63.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0288_beta.npy
0289_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_64.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0289_beta.npy
0290_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_65.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0290_beta.npy
0291_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_66.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0291_beta.npy
0292_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_67.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0292_beta.npy
0293_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_68.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0293_beta.npy
0294_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_69.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0294_beta.npy
0295_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_70.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0295_beta.npy
0296_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_71.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0296_beta.npy
0297_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_72.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0297_beta.npy
0298_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_73.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0298_beta.npy
0299_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_74.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0299_beta.npy
0300_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_75.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0300_beta.npy
0301_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_76.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0301_beta.npy
0302_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_77.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0302_beta.npy
0303_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_78.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0303_beta.npy
0304_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_79.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0304_beta.npy
0305_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_80.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0305_beta.npy
0306_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_81.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0306_beta.npy
0307_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_82.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0307_beta.npy
0308_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_83.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0308_beta.npy
0309_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_84.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0309_beta.npy
0310_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_85.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0310_beta.npy
0311_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_86.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0311_beta.npy
0312_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_87.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0312_beta.npy
0313_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_88.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0313_beta.npy
0314_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_89.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0314_beta.npy
0315_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_90.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0315_beta.npy
0316_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_91.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0316_beta.npy
0317_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_92.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0317_beta.npy
0318_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_93.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0318_beta.npy
0319_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_94.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0319_beta.npy
0320_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_95.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0320_beta.npy
0321_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_96.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0321_beta.npy
0322_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_97.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0322_beta.npy
0323_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_98.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0323_beta.npy
0324_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_99.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0324_beta.npy
0325_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_100.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0325_beta.npy
0326_beta,20210714,P1H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta16_101.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0326_beta.npy
